drug_name,category
sodium fluoride,Caries prophylactic agents
sodium monofluorophosphate,Caries prophylactic agents
olaflur,Caries prophylactic agents
stannous fluoride,Caries prophylactic agents
combinations,Caries prophylactic agents
"sodium fluoride, combinations",Caries prophylactic agents
hydrogen peroxide,Antiinfectives and antiseptics for local oral treatment
chlorhexidine,Antiinfectives and antiseptics for local oral treatment
amphotericin b,Antiinfectives and antiseptics for local oral treatment
polynoxylin,Antiinfectives and antiseptics for local oral treatment
domiphen,Antiinfectives and antiseptics for local oral treatment
oxyquinoline,Antiinfectives and antiseptics for local oral treatment
neomycin,Antiinfectives and antiseptics for local oral treatment
miconazole,Antiinfectives and antiseptics for local oral treatment
natamycin,Antiinfectives and antiseptics for local oral treatment
various,Antiinfectives and antiseptics for local oral treatment
hexetidine,Antiinfectives and antiseptics for local oral treatment
tetracycline,Antiinfectives and antiseptics for local oral treatment
benzoxonium chloride,Antiinfectives and antiseptics for local oral treatment
tibezonium iodide,Antiinfectives and antiseptics for local oral treatment
mepartricin,Antiinfectives and antiseptics for local oral treatment
metronidazole,Antiinfectives and antiseptics for local oral treatment
clotrimazole,Antiinfectives and antiseptics for local oral treatment
sodium perborate,Antiinfectives and antiseptics for local oral treatment
chlortetracycline,Antiinfectives and antiseptics for local oral treatment
doxycycline,Antiinfectives and antiseptics for local oral treatment
minocycline,Antiinfectives and antiseptics for local oral treatment
triamcinolone,Corticosteroids for local oral treatment
dexamethasone,Corticosteroids for local oral treatment
hydrocortisone,Corticosteroids for local oral treatment
"prednisolone, combinations",Corticosteroids for local oral treatment
epinephrine,Other agents for local oral treatment
benzydamine,Other agents for local oral treatment
acetylsalicylic acid,Other agents for local oral treatment
adrenalone,Other agents for local oral treatment
amlexanox,Other agents for local oral treatment
becaplermin,Other agents for local oral treatment
magnesium carbonate,Magnesium compounds
magnesium oxide,Magnesium compounds
magnesium peroxide,Magnesium compounds
magnesium hydroxide,Magnesium compounds
magnesium silicate,Magnesium compounds
aluminium hydroxide,Aluminium compounds
algeldrate,Aluminium compounds
aluminium phosphate,Aluminium compounds
